AN_EVAL;MOIS_EVAL;PRIMES_GARANTIES;PREST_DECES;PREST_ECH;PREST_MRV;FRAIS_ACQUIS;COMM_VENTE;PRIMES_VARIABLES;FRAIS_FIXES;HON_GEST;COMM_MAINTIEN;VALEUR_MARCHANDE;PASSIF_REDRESSE;COUSSIN_CREDIT;COUSSIN_MARCHE;COUSSIN_DEPENSE;COUSSIN_DECHEANCE;COUSSIN_MORTALITE;COUSSIN_DEPOT
75;8;0.0;-4.239981135854251e-07;0.0;0.0;0.0;0.0;0.0006429229953553336;-0.0014479636453825695;-9.068050725248511e-05;-0.00023479108515688774;1.2686404797788549;-0.0007117028114097152;-0.0003917642492147037;-0.0038279452401597403;-0.00025039496536438443;-0.0011673041219900054;-0.0004573360903703754;0.0
75;9;0.0;-4.098041093928308e-07;0.0;0.0;0.0;0.0;0.0006261258384361041;-0.0014179152772274863;-8.82537850487186e-05;-0.00022866714321579689;1.2350981504718852;-0.0006933825914037534;-0.0003811586026268852;-0.003740806189451138;-0.00024427669172063046;-0.0011363294212268415;-0.0004451968389938295;0.0
75;10;0.0;-3.99708830691568e-07;0.0;0.0;0.0;0.0;0.0006103214520327444;-0.0013885917355702234;-8.596824847243145e-05;-0.00022290554728250485;1.2035231546447032;-0.0006761561587491223;-0.00037115942508390533;-0.003657542168230135;-0.0002383973218376269;-0.001106211956564645;-0.00043374283246751293;0.0
75;11;0.0;-4.058508244281934e-07;0.0;0.0;0.0;0.0;0.0005960685036523689;-0.0013599735403573296;-8.389736667590065e-05;-0.00021771126865384536;1.1749801521694176;-0.0006606663538820396;-0.00036206108934989755;-0.003581117344154748;-0.00023289261847159838;-0.0010769240220530627;-0.0004233047788637695;0.0
75;12;0.0;-4.0808939219271605e-07;0.0;0.0;0.0;0.0;0.0005834473105530566;-0.0013320316813287038;-8.202821541848139e-05;-0.00021311796207891743;1.1495292092701657;-0.00064718842505843;-0.00035372909069835725;-0.0035206853318143303;-0.00022818540300595464;-0.0010485602842969836;-0.00041374495605188297;0.0
76;1;0.0;-3.41126550266965e-07;0.0;0.0;0.0;0.0;0.0005695241955593096;-0.0012237780254470993;-7.999809624092491e-05;-0.00020804516289213784;1.1216139870191615;-0.0006321083052729307;-0.00034479161457775224;-0.0034506526114520073;-0.0002230872866560327;-0.0010210074870737847;-0.00040350957396120986;0.0
76;2;0.0;-3.2972995127881774e-07;0.0;0.0;0.0;0.0;0.0005556212200046454;-0.0012048123981957624;-7.7985831759926e-05;-0.00020297704195671877;1.0938245864672407;-0.0006169609819214514;-0.00033598284445514695;-0.0033772176507098103;-0.00021788415176117703;-0.0009942134029936997;-0.00039342106505372204;0.0
76;3;0.0;-3.3714175105132783e-07;0.0;0.0;0.0;0.0;0.0005433307231430361;-0.0011862064704430833;-7.617946836824217e-05;-0.00019850162524088843;1.069068943120641;-0.0006037016568103875;-0.0003279774055524758;-0.003316112264924475;-0.00021330399405748203;-0.0009681569158233865;-0.00038423838281554534;0.0
76;4;0.0;-3.463840771500685e-07;0.0;0.0;0.0;0.0;0.0005318336352361817;-0.0011679540334335165;-7.447990382846173e-05;-0.00019431686643342133;1.045843795778944;-0.0005913450848799792;-0.0003204099381007598;-0.00824835983922361;-0.0005993954172722017;-0.0031766911665643024;-0.00037555046763344943;0.0
76;5;0.0;-3.3135884753872065e-07;0.0;0.0;0.0;0.0;5.242261933199781e-05;-0.0008908149171701251;-3.3139415880323607e-06;-1.9871706696096072e-05;0.0753491619306668;-7.751168287807694e-05;-4.904150814190553e-06;-0.0014239183225009688;-6.602847059984331e-05;-0.0001291426381070179;-2.0433961725793975e-05;0.0
